date,state,dataQualityGrade,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
5/3/2020,HI,B,16,,0,,72,72,,0,,,32330,964,,,,,,620,,1,0,,,,,576,541,33854,614,33854,614,,,,,,0,,0
5/2/2020,HI,B,16,,0,,72,72,,2,,,31366,890,,,,,,619,,1,0,,,,,576,532,33240,867,33240,867,,,,,,0,,0
5/1/2020,HI,B,16,,0,,70,70,,1,,,30476,449,,,,,,618,,5,0,,,,,571,526,32373,736,32373,736,,,,,,0,,0
4/30/2020,HI,B,16,,0,,69,69,,0,,,30027,1018,,,,,,613,,4,0,,,,,567,516,31637,1324,31637,1324,,,,,,0,,0
4/29/2020,HI,B,16,,0,,69,69,,1,,,29009,433,,,27632,,,609,,2,0,,,,,562,505,30313,306,30313,306,,,,,,0,,0
4/28/2020,HI,C,16,,2,,68,68,,0,,,28576,172,,,,,,607,,1,0,,,,,558,493,30007,249,30007,249,,,,,,0,,0
4/27/2020,HI,C,14,,0,,68,68,,0,,,28404,524,,,,,,606,,3,0,,,,,557,488,29758,576,29758,576,,,,,,0,,0
4/26/2020,HI,C,14,,1,,68,68,,1,,,27880,441,,,,,,603,,2,0,,,,,554,482,29182,617,29182,617,,,,,,0,,0
4/25/2020,HI,C,13,,1,,67,67,,4,,,27439,1148,,,,,,601,,5,0,,,,,549,463,28565,727,28565,727,,,,,,0,,0
4/24/2020,HI,A,12,,0,,63,63,,0,,,26291,755,,,,,,596,,4,0,,,,,545,455,27838,837,27838,837,,,,,,0,,0
4/23/2020,HI,A,12,,0,,63,63,,7,,,25536,776,,,,,,592,,6,0,,,,,540,444,27001,802,27001,802,,,,,,0,,0
4/22/2020,HI,A,12,,2,,56,56,,1,,,24760,648,,,,,,586,,2,0,,,,,529,437,26199,543,26199,543,,,,,,0,,0
4/21/2020,HI,A,10,,0,,55,55,,3,,,24112,517,,,,,,584,,4,0,,,,,527,423,25656,647,25656,647,,,,,,0,,0
4/20/2020,HI,A,10,,1,,52,52,,1,,,23595,699,,,,,,580,,6,0,,,,,523,414,25009,913,25009,913,,,,,,0,,0
4/19/2020,HI,A,9,,0,,51,51,,3,,,22896,1106,,,,,,574,,21,0,,,,,516,410,24096,942,24096,942,,,,,,0,,0
4/18/2020,HI,A,9,,0,,48,48,,3,,,21790,474,,,,,,553,,12,0,,,,,496,390,23154,716,23154,716,,,,,,0,,0
4/17/2020,HI,A,9,,0,,45,45,,0,,,21316,1146,,,,,,541,,11,0,,,,,487,374,22438,1292,22438,1292,,,,,,0,,0
4/16/2020,HI,A,9,,0,,45,45,,0,,,20170,884,,,,,,530,,13,0,,,,,478,359,21146,905,21146,905,,,,,,0,,0
4/15/2020,HI,A,9,,0,,45,45,,1,,,19286,370,,,,,,517,,13,0,,,,,462,333,20241,404,20241,404,,,,,,0,,0
4/14/2020,HI,A,9,,0,,44,44,,0,,,18916,571,,,,,,504,,5,0,,,,,457,315,19837,702,19837,702,,,,,,0,,0
4/13/2020,HI,A,9,,1,,44,44,,0,,,18345,863,,,,,,499,,13,0,,,,,452,310,19135,867,19135,867,,,,,,0,,0
4/12/2020,HI,A,8,,0,,44,44,,1,,,17482,416,,,,,,486,,21,0,,,,,440,300,18268,1013,18268,1013,,,,,,0,,0
4/11/2020,HI,A,8,,2,,43,43,,1,,,17066,1359,,,,,,465,,23,0,,,,,420,284,17255,717,17255,717,,,,,,0,,0
4/10/2020,HI,A,6,,1,,42,42,,0,,,15707,391,,,,,,442,,7,0,,,,,410,251,16538,553,16538,553,,,,,,0,,0
4/9/2020,HI,A,5,,0,,42,42,,0,,,15316,577,,,,,,435,,25,0,,,,,401,113,15985,756,15985,756,,,,,,0,,0
4/8/2020,HI,A,5,,0,,42,42,,16,,,14739,1584,,,,,,410,,23,0,,,,,372,113,15229,830,15229,830,,,,,,0,,0
4/7/2020,HI,A,5,,1,,26,26,,5,,,13155,0,,,,,,387,,16,0,,,,,347,89,14399,701,14399,701,,,,,,0,,0
4/6/2020,HI,A,4,,0,,21,21,,2,,,13155,551,,,,,,371,,20,0,,,,,330,85,13698,450,13698,450,,,,,,0,,0
4/5/2020,HI,A,4,,1,,19,19,,1,,,12604,645,,,,,,351,,32,0,,,,,317,82,13248,760,13248,760,,,,,,0,,0
4/4/2020,HI,A,3,,1,,18,18,,3,,,11959,1753,,,,,,319,,34,0,,,,,300,78,12488,915,12488,915,,,,,,0,,0
4/3/2020,HI,A,2,,1,,15,15,,0,,,10206,0,,,,,,285,,27,0,,,,,273,72,11573,917,11573,917,,,,,,0,,0
4/2/2020,HI,A,1,,0,,15,15,,2,,,10206,1485,,,,,,258,,50,0,,,,,248,69,10656,1338,10656,1338,,,,,,0,,0
4/1/2020,HI,A,1,,1,,13,13,,1,,,8721,250,,,,,,208,,4,0,,,,,219,58,9318,488,9318,488,,,,,,0,,0
3/31/2020,HI,A,,,0,,12,12,,0,,,8471,646,,,,,,204,,29,0,,,,,202,49,8830,685,8830,685,,,,,,0,,0
3/30/2020,HI,A,,,0,,12,12,,0,,,7825,976,,,,,,175,,24,0,,,,,175,,8145,1190,8145,1190,,,,,,0,,0
3/29/2020,HI,A,,,0,,12,12,,4,,,6849,2492,,,,,,151,,31,0,,,,,146,,6955,1158,6955,1158,,,,,,0,,0
3/28/2020,HI,A,,,0,,8,8,,1,,,4357,0,,,,,,120,,14,0,,,,,118,,5797,729,5797,729,,,,,,0,,0
3/27/2020,HI,A,,,0,,7,7,,2,,,4357,0,,,,,,106,,11,0,,,,,104,,5068,514,5068,514,,,,,,0,,0
3/26/2020,HI,A,,,0,,5,5,,-1,,,4357,0,,,,,,95,,5,0,,,,,92,,4554,337,4554,337,,,,,,0,,0
3/25/2020,HI,A,,,0,,6,6,,2,,,4357,768,,,,,,90,,13,0,,,,,84,,4217,553,4217,553,,,,,,0,,0
3/24/2020,HI,A,,,0,,4,4,,4,,,3589,634,,,,,,77,,21,0,,,,,69,,3664,606,3664,606,,,,,,0,,0
3/23/2020,HI,A,,,0,,,,,0,,,2955,2692,,,,,,56,,8,0,,,,,54,,3058,487,3058,487,,,,,,0,,0
3/22/2020,HI,,,,0,,,,,0,,,263,139,,,,,,48,,11,0,,,,,47,,2571,762,2571,762,,,,,,0,,0
3/21/2020,HI,,,,0,,,,,0,,,124,0,,,,,,37,,11,0,,,,,37,,1809,652,1809,652,,,,,,0,,0
3/20/2020,HI,,,,0,,,,,0,,,124,31,,,,,,26,,10,0,,,,,22,,1157,438,1157,438,,,,,,0,,0
3/19/2020,HI,,,,0,,,,,0,,,93,0,,,,,,16,,2,0,,,,,15,,719,233,719,233,,,,,,0,,0
3/18/2020,HI,,,,0,,,,,0,,,93,93,,,,,,14,,4,0,,,,,11,,486,180,486,180,,,,,,0,,0
3/17/2020,HI,,,,0,,,,,0,,,,0,,,,,,10,,3,0,,,,,10,,306,117,306,117,,,,,,0,,0
3/16/2020,HI,,,,0,,,,,0,,,,0,,,,,,7,,5,0,,,,,7,,189,130,189,130,,,,,,0,,0
3/15/2020,HI,,,,0,,,,,0,,,,0,,,,,,2,,0,0,,,,,4,,59,31,59,31,,,,,,0,,0
3/14/2020,HI,,,,0,,,,,0,,,,0,,,,,,2,,0,0,,,,,2,,28,7,28,7,,,,,,0,,0
3/13/2020,HI,,,,0,,,,,0,,,,0,,,,,,2,,0,0,,,,,2,,21,5,21,5,,,,,,0,,0
3/12/2020,HI,,,,0,,,,,0,,,,0,,,,,,2,,0,0,,,,,2,,16,1,16,1,,,,,,0,,0
3/11/2020,HI,,,,0,,,,,0,,,,0,,,,,,2,,0,0,,,,,2,,15,3,15,3,,,,,,0,,0
3/10/2020,HI,,,,0,,,,,0,,,,0,,,,,,2,,0,0,,,,,2,,12,1,12,1,,,,,,0,,0
3/9/2020,HI,,,,0,,,,,0,,,,0,,,,,,2,,1,0,,,,,1,,11,2,11,2,,,,,,0,,0
3/8/2020,HI,,,,0,,,,,0,,,,0,,,,,,1,,0,0,,,,,1,,9,2,9,2,,,,,,0,,0
3/7/2020,HI,,,,0,,,,,0,,,,0,,,,,,1,,1,0,,,,,0,,7,0,7,0,,,,,,0,,0
3/6/2020,HI,,,,0,,,,,0,,,,0,,,,,,,,0,0,,,,,0,,7,4,7,4,,,,,,0,,0
3/5/2020,HI,,,,0,,,,,0,,,,0,,,,,,,,0,0,,,,,0,,3,1,3,1,,,,,,0,,0
3/4/2020,HI,,,,0,,,,,0,,,,0,,,,,,,,0,0,,,,,0,,2,2,2,0,,,,,,0,,0
